Alcoholics - Valkyrie, Fuse, Mirage
Wallhacks - Bloodhound, Seer, Fuse
Screen Cancer - Caustic, Bangalore, Revenant
Campers - Caustic, Rampart, Wattson
Bomb Squad - Fuse, Gibraltar, Bangalore
Apex Predators - Wraith, Octane, Pathfinder
Nerfed - Wattson, Bangalore, Seer
Edgelords - Caustic, Revenant, Wraith
Positivity - Pathfinder, Mirage, Gibraltar
Revive me! - Gibraltar, Mirage, Lifeline
Military - Bangalore, Gibraltar, Valkyrie
Science - Caustic, Horizon, Wattson
I am Speed! - Octane, Pathfinder, Bangalore
Movement Pros - Horizon, Pathfinder, Valkyrie
Chaos - Bangalore, Mirage, Fuse
